timestamp,rpm,speed_kph,coolant_temp_c,engine_load_pct,throttle_pct,intake_temp_c
0.0,656.25,0.0,89,35.68627450980392,13.72549019607843,60
0.5,742.0,0.0,89,31.764705882352942,13.72549019607843,60
1.0,742.0,0.0,90,30.980392156862745,13.72549019607843,60
1.51,730.25,0.0,90,30.980392156862745,13.72549019607843,60
2.01,726.5,0.0,90,30.980392156862745,13.72549019607843,61
2.51,718.75,0.0,90,30.980392156862745,13.72549019607843,60
3.01,707.0,0.0,90,30.980392156862745,13.72549019607843,60
3.51,707.0,0.0,90,29.80392156862745,13.72549019607843,60
4.01,695.25,0.0,90,30.980392156862745,13.72549019607843,60
4.52,703.0,0.0,90,36.86274509803921,14.509803921568627,60
5.03,632.75,0.0,90,36.86274509803921,13.72549019607843,60
5.53,617.0,0.0,90,35.68627450980392,13.72549019607843,61
6.03,605.25,0.0,90,35.68627450980392,13.72549019607843,61
6.53,605.25,0.0,90,36.86274509803921,13.72549019607843,61
7.04,628.75,0.0,90,36.86274509803921,14.117647058823529,61
7.54,636.5,0.0,90,36.86274509803921,14.117647058823529,61
8.04,644.5,0.0,90,36.86274509803921,14.117647058823529,61
8.54,644.5,0.0,90,33.72549019607843,14.117647058823529,60
9.04,792.75,0.0,90,33.72549019607843,13.72549019607843,60
9.55,929.5,0.0,90,34.90196078431372,15.686274509803921,60
10.05,1195.25,0.0,90,46.666666666666664,16.862745098039216,60
10.55,1195.25,1.0,90,43.92156862745098,16.470588235294116,60
11.05,1113.25,1.0,90,37.64705882352941,16.470588235294116,60
11.55,1191.25,3.0,90,44.705882352941174,18.03921568627451,60
12.05,1343.75,5.0,90,34.90196078431372,16.470588235294116,60
12.55,1375.0,7.0,90,51.76470588235294,20.392156862745097,60
13.05,1722.5,7.0,90,54.90196078431372,20.784313725490197,60
13.55,1667.75,10.0,90,40.0,17.254901960784313,60
14.06,1343.75,13.0,90,31.764705882352942,16.470588235294116,60
14.56,1375.0,15.0,90,46.666666666666664,20.0,60
15.06,1609.25,15.0,90,50.98039215686274,20.0,60
15.56,1250.0,16.0,90,50.98039215686274,18.431372549019606,60
16.06,1199.0,17.0,90,37.64705882352941,16.862745098039216,60
16.56,1179.5,17.0,90,40.0,16.07843137254902,60
17.06,1179.5,18.0,90,24.705882352941178,14.509803921568627,60
17.57,1132.75,18.0,89,21.96078431372549,14.117647058823529,60
18.07,937.5,18.0,89,29.80392156862745,15.294117647058824,60
18.57,1035.0,18.0,89,32.94117647058823,15.686274509803921,60
19.07,1242.0,18.0,89,28.627450980392158,15.686274509803921,60
19.58,1234.25,18.0,89,31.764705882352942,16.470588235294116,60
20.08,1300.75,18.0,89,40.78431372549019,18.431372549019606,60
20.58,1484.25,17.0,89,51.76470588235294,20.392156862745097,60
21.08,1675.75,17.0,89,53.72549019607843,20.784313725490197,60
21.59,1628.75,19.0,89,57.64705882352941,20.784313725490197,60
22.09,1437.5,19.0,89,57.64705882352941,20.392156862745097,60
22.59,1253.75,21.0,89,58.8235294117647,20.0,60
23.09,1222.5,21.0,89,62.745098039215684,20.0,59
23.59,1214.75,22.0,89,64.70588235294117,19.607843137254903,59
24.1,1214.75,23.0,89,61.96078431372549,19.215686274509803,59
24.6,1210.75,25.0,89,54.90196078431372,18.431372549019606,59
25.1,1328.0,25.0,89,60.0,20.392156862745097,59
25.6,1304.5,26.0,89,61.96078431372549,20.392156862745097,59
26.1,1300.75,27.0,89,55.68627450980392,19.215686274509803,59
26.6,1257.75,29.0,89,42.745098039215684,18.03921568627451,59
27.11,1269.5,29.0,89,43.92156862745098,17.647058823529413,59
27.61,1234.25,30.0,89,43.92156862745098,17.647058823529413,59
28.11,1238.25,30.0,89,43.92156862745098,17.647058823529413,59
28.61,1250.0,31.0,89,43.92156862745098,17.647058823529413,59
29.11,1269.5,31.0,89,42.745098039215684,17.647058823529413,59
29.62,1277.25,32.0,89,44.705882352941174,17.647058823529413,58
30.12,1339.75,32.0,89,44.705882352941174,19.215686274509803,58
30.62,1347.5,33.0,89,60.0,21.568627450980394,58
31.12,1343.75,33.0,89,68.62745098039215,18.823529411764707,58
31.62,1343.75,33.0,89,20.784313725490197,13.72549019607843,58
32.12,1222.5,34.0,89,12.941176470588236,13.333333333333334,58
32.62,1148.25,33.0,89,0.0,13.333333333333334,58
33.14,1199.0,29.0,89,0.0,13.72549019607843,58
33.64,1222.5,29.0,89,0.0,14.117647058823529,58
34.14,1257.75,25.0,89,33.72549019607843,18.03921568627451,58
34.65,1425.75,23.0,89,66.66666666666667,22.745098039215687,58
35.15,1355.25,23.0,89,80.7843137254902,30.19607843137255,58
35.65,1644.5,25.0,89,90.98039215686275,30.980392156862745,58
36.15,1859.25,25.0,89,93.72549019607843,35.68627450980392,58
36.65,1957.0,28.0,89,93.72549019607843,35.68627450980392,58
37.15,1957.0,31.0,89,93.72549019607843,36.07843137254902,57
37.65,1972.5,34.0,89,93.72549019607843,35.68627450980392,57
38.16,2003.75,34.0,89,93.72549019607843,36.07843137254902,56
38.66,2003.75,34.0,89,92.94117647058823,34.90196078431372,56
39.16,2000.0,37.0,89,41.96078431372549,16.07843137254902,56
39.66,1660.0,39.0,89,23.92156862745098,15.686274509803921,56
40.16,1414.0,40.0,89,23.92156862745098,15.294117647058824,56
40.66,1308.5,40.0,89,22.745098039215687,14.901960784313726,56
41.16,1265.5,40.0,89,20.784313725490197,14.509803921568627,56
41.66,1214.75,39.0,89,17.647058823529413,13.72549019607843,56
42.16,1203.0,37.0,89,15.686274509803921,13.333333333333334,56
42.66,1187.5,37.0,89,0.0,13.333333333333334,56
43.16,1214.75,34.0,89,0.0,13.333333333333334,56
43.66,1230.25,30.0,89,0.0,13.333333333333334,56
44.17,1230.25,27.0,89,0.0,13.333333333333334,56
44.67,1214.75,27.0,89,0.0,13.333333333333334,56
45.17,1179.5,24.0,89,0.0,13.333333333333334,56
45.67,1179.5,21.0,89,0.0,13.333333333333334,56
46.17,945.25,21.0,89,0.0,13.333333333333334,56
46.67,945.25,18.0,89,21.96078431372549,13.333333333333334,56
47.17,832.0,18.0,89,23.92156862745098,13.333333333333334,56
47.67,800.75,15.0,89,22.745098039215687,13.333333333333334,56
48.17,816.25,12.0,89,21.96078431372549,14.117647058823529,56
48.67,820.25,9.0,89,27.84313725490196,14.117647058823529,56
49.17,804.5,6.0,89,29.80392156862745,14.117647058823529,56
49.68,589.75,6.0,89,33.72549019607843,13.333333333333334,56
50.18,593.75,3.0,89,30.980392156862745,13.333333333333334,56
50.68,664.0,1.0,89,27.84313725490196,13.333333333333334,56
51.18,628.75,0.0,89,30.980392156862745,13.333333333333334,56
51.68,1031.25,0.0,89,30.980392156862745,17.647058823529413,56
52.18,1273.25,0.0,89,45.88235294117647,18.823529411764707,57
52.69,1687.5,2.0,89,75.68627450980392,25.88235294117647,57
53.19,1835.75,2.0,89,89.80392156862744,30.980392156862745,56
53.69,1988.25,7.0,89,92.94117647058823,33.72549019607843,56
54.19,1988.25,7.0,89,94.90196078431373,36.86274509803921,56
54.69,2136.5,13.0,89,90.98039215686275,33.333333333333336,56
55.19,2199.0,18.0,89,82.74509803921569,29.80392156862745,56
55.69,2179.5,21.0,89,87.84313725490196,32.15686274509804,55
56.2,2074.0,21.0,89,93.72549019607843,34.509803921568626,55
56.7,1992.0,24.0,89,93.72549019607843,34.509803921568626,55
57.2,1933.5,28.0,89,92.94117647058823,34.11764705882353,55
57.71,2007.75,31.0,89,93.72549019607843,34.11764705882353,54
58.21,2089.75,33.0,89,91.76470588235294,32.94117647058823,54
58.71,2167.75,33.0,89,85.88235294117646,32.94117647058823,54
59.21,1972.5,36.0,89,85.88235294117646,28.627450980392158,54
59.72,1617.0,39.0,89,34.90196078431372,16.07843137254902,54
60.22,1417.75,39.0,89,23.92156862745098,15.686274509803921,54
60.72,1417.75,39.0,89,23.92156862745098,14.901960784313726,54
61.22,1265.5,39.0,89,22.745098039215687,14.901960784313726,54
61.72,1242.0,38.0,89,21.96078431372549,14.509803921568627,54
62.24,1230.25,38.0,89,21.96078431372549,14.509803921568627,54
62.75,1222.5,38.0,89,15.686274509803921,13.333333333333334,54
63.25,1207.0,38.0,89,13.72549019607843,13.333333333333334,54
63.75,1234.25,37.0,89,0.0,13.333333333333334,54
64.25,1226.5,35.0,89,0.0,13.333333333333334,54
64.76,1218.75,33.0,89,0.0,13.333333333333334,54
65.26,1226.5,33.0,89,0.0,13.333333333333334,54
65.76,1222.5,30.0,89,0.0,13.333333333333334,54
66.26,1234.25,27.0,89,0.0,13.333333333333334,54
66.76,1226.5,25.0,89,15.686274509803921,14.509803921568627,54
67.26,1218.75,25.0,89,22.745098039215687,14.901960784313726,54
67.76,1218.75,24.0,89,15.686274509803921,13.333333333333334,54
68.26,1214.75,24.0,89,13.72549019607843,13.333333333333334,54
68.77,1171.75,23.0,89,0.0,13.333333333333334,54
69.27,1164.0,21.0,89,0.0,13.333333333333334,54
69.77,1167.75,19.0,89,0.0,13.333333333333334,54
70.27,960.75,19.0,89,20.0,13.333333333333334,54
70.77,855.25,16.0,89,20.784313725490197,13.333333333333334,54
71.28,804.5,12.0,89,25.88235294117647,14.117647058823529,54
71.78,769.5,8.0,89,30.980392156862745,14.117647058823529,54
72.28,593.75,3.0,89,41.96078431372549,14.117647058823529,54
72.78,664.0,3.0,89,41.96078431372549,14.509803921568627,54
73.28,625.0,0.0,89,40.0,14.117647058823529,54
73.79,605.25,0.0,89,36.86274509803921,14.117647058823529,55
74.29,621.0,0.0,89,36.86274509803921,13.72549019607843,55
74.79,621.0,0.0,89,35.68627450980392,14.117647058823529,55
75.29,644.5,0.0,89,34.90196078431372,14.117647058823529,55
75.79,648.25,0.0,89,34.90196078431372,14.117647058823529,55
76.29,671.75,0.0,89,34.90196078431372,14.117647058823529,55
76.79,683.5,0.0,89,34.90196078431372,14.117647058823529,55
77.29,683.5,0.0,89,33.72549019607843,14.117647058823529,55
77.8,644.5,0.0,89,34.90196078431372,13.72549019607843,55
78.3,660.0,0.0,89,33.72549019607843,13.72549019607843,55
78.8,648.25,0.0,89,37.64705882352941,13.72549019607843,56
79.31,1468.75,0.0,89,88.62745098039215,25.49019607843137,56
79.81,1824.0,1.0,89,88.62745098039215,30.58823529411765,55
80.31,1894.5,5.0,89,90.98039215686275,30.980392156862745,55
80.81,2019.5,5.0,89,89.80392156862744,32.15686274509804,54
81.32,2140.5,11.0,89,89.80392156862744,32.15686274509804,54
81.82,2140.5,16.0,89,87.84313725490196,32.15686274509804,54
82.32,2218.75,16.0,89,87.84313725490196,31.764705882352942,54
82.82,2250.0,20.0,89,87.84313725490196,31.764705882352942,54
83.32,2097.5,24.0,89,81.96078431372548,27.84313725490196,54
83.82,2007.75,28.0,89,68.62745098039215,23.92156862745098,54
84.33,1644.5,28.0,89,62.745098039215684,20.784313725490197,54
84.83,1445.25,31.0,89,61.96078431372549,20.0,54
85.33,1324.0,33.0,89,57.64705882352941,19.215686274509803,54
85.83,1273.25,34.0,89,58.8235294117647,19.607843137254903,54
86.33,1261.5,34.0,89,63.92156862745098,19.607843137254903,54
86.83,1300.75,34.0,89,63.92156862745098,20.0,54
87.34,1250.0,35.0,89,60.0,19.607843137254903,54
87.84,1207.0,35.0,89,40.0,14.117647058823529,54
88.34,1203.0,36.0,89,17.647058823529413,13.72549019607843,54
88.84,1203.0,36.0,89,20.0,16.862745098039216,54
89.34,1222.5,36.0,89,51.76470588235294,19.215686274509803,54
89.84,1324.0,36.0,89,65.88235294117646,21.568627450980394,54
90.35,1378.75,37.0,89,72.94117647058823,25.098039215686274,53
90.85,1460.75,39.0,89,82.74509803921569,27.84313725490196,53
91.36,1546.75,39.0,89,86.66666666666667,28.235294117647058,53
91.87,1621.0,41.0,89,86.66666666666667,27.84313725490196,53
92.37,1640.5,42.0,89,84.70588235294117,24.705882352941178,53
92.87,1519.5,43.0,89,28.627450980392158,14.117647058823529,53
93.37,1382.75,43.0,89,15.686274509803921,14.117647058823529,53
93.87,1312.5,44.0,89,15.686274509803921,13.72549019607843,53
94.37,1238.25,43.0,89,12.941176470588236,13.333333333333334,53
94.87,1238.25,43.0,89,0.0,13.333333333333334,53
95.38,1238.25,41.0,89,0.0,14.117647058823529,53
95.88,1238.25,41.0,89,0.0,14.509803921568627,53
96.38,1222.5,39.0,89,0.0,14.117647058823529,53
96.88,1214.75,37.0,89,0.0,14.117647058823529,53
97.38,1218.75,34.0,89,0.0,14.117647058823529,53
97.89,1226.5,30.0,89,0.0,14.117647058823529,53
98.39,1207.0,30.0,89,0.0,14.117647058823529,53
98.89,1191.25,26.0,89,0.0,14.117647058823529,53
99.39,1183.5,22.0,89,18.823529411764707,14.901960784313726,53
99.89,964.75,18.0,89,30.980392156862745,14.901960784313726,53
100.4,1160.0,18.0,89,30.980392156862745,15.686274509803921,53
100.9,1824.0,15.0,89,46.666666666666664,22.352941176470587,53
101.4,2097.5,15.0,89,90.98039215686275,35.294117647058826,53
101.9,2320.25,15.0,89,93.72549019607843,36.86274509803921,52
102.4,2320.25,18.0,89,93.72549019607843,36.86274509803921,52
102.91,2429.5,18.0,89,90.98039215686275,36.86274509803921,52
103.41,2316.25,23.0,88,94.90196078431373,36.470588235294116,52
103.91,2164.0,28.0,89,94.90196078431373,36.470588235294116,52
104.41,2066.25,32.0,88,95.68627450980392,36.470588235294116,52
104.92,2035.0,32.0,88,94.90196078431373,36.470588235294116,51
105.42,2093.75,36.0,88,96.86274509803921,36.86274509803921,51
105.92,2113.25,40.0,88,96.86274509803921,36.470588235294116,51
106.42,2128.75,43.0,88,94.90196078431373,36.07843137254902,51
106.93,2140.5,43.0,88,94.90196078431373,36.470588235294116,51
107.43,2140.5,45.0,88,93.72549019607843,36.470588235294116,51
107.93,2136.5,48.0,88,93.72549019607843,35.294117647058826,51
108.43,2156.25,51.0,88,93.72549019607843,35.294117647058826,51
108.93,2179.5,51.0,88,93.72549019607843,35.294117647058826,50
109.44,2183.5,53.0,88,93.72549019607843,35.294117647058826,50
109.94,2183.5,53.0,88,88.62745098039215,32.15686274509804,50
110.44,2105.25,55.0,88,60.78431372549019,15.294117647058824,49
110.94,1675.75,57.0,88,29.80392156862745,18.823529411764707,50
111.44,1476.5,58.0,88,58.8235294117647,21.568627450980394,50
111.94,1433.5,58.0,88,62.745098039215684,21.568627450980394,50
112.45,1429.5,59.0,88,63.92156862745098,23.137254901960784,50
112.95,1464.75,60.0,88,74.90196078431373,25.49019607843137,50
113.45,1535.0,61.0,88,72.94117647058823,23.529411764705884,50
113.95,1558.5,61.0,88,66.66666666666667,23.529411764705884,49
114.45,1519.5,62.0,88,66.66666666666667,22.745098039215687,49
114.96,1503.75,62.0,88,66.66666666666667,22.745098039215687,49
115.46,1488.25,63.0,88,68.62745098039215,23.529411764705884,49
115.96,1492.0,63.0,88,69.80392156862744,23.529411764705884,49
116.46,1492.0,64.0,88,68.62745098039215,23.529411764705884,49
116.96,1468.75,64.0,88,36.86274509803921,14.901960784313726,49
117.46,1378.75,64.0,89,20.0,14.509803921568627,49
117.97,1351.5,64.0,88,17.647058823529413,14.117647058823529,49
118.47,1324.0,64.0,89,0.0,14.117647058823529,49
118.97,1312.5,64.0,89,0.0,14.117647058823529,49
119.47,1300.75,63.0,89,0.0,14.117647058823529,49
119.97,1304.5,62.0,89,0.0,14.117647058823529,49
120.47,1304.5,61.0,89,0.0,14.117647058823529,49
120.97,1308.5,61.0,89,0.0,14.117647058823529,49
121.47,1339.75,60.0,89,0.0,14.117647058823529,49
121.97,1316.25,58.0,89,0.0,14.117647058823529,49
122.48,1304.5,55.0,89,0.0,13.333333333333334,49
122.98,1296.75,55.0,89,0.0,13.333333333333334,49
123.48,1285.0,55.0,89,0.0,13.333333333333334,49
123.99,1285.0,53.0,89,0.0,13.333333333333334,49
124.49,1261.5,50.0,89,0.0,13.333333333333334,49
124.99,1281.25,47.0,89,0.0,13.333333333333334,49
125.49,1277.25,45.0,89,20.784313725490197,14.901960784313726,49
126.0,1285.0,45.0,89,27.84313725490196,13.72549019607843,49
126.5,1246.0,44.0,89,18.823529411764707,13.333333333333334,49
127.0,1250.0,44.0,89,15.686274509803921,13.72549019607843,49
127.5,1265.5,43.0,89,0.0,13.333333333333334,49
128.0,1257.75,43.0,89,0.0,13.333333333333334,49
128.51,1226.5,41.0,89,0.0,13.333333333333334,49
129.01,1214.75,38.0,89,0.0,13.333333333333334,49
129.51,1222.5,34.0,89,0.0,13.333333333333334,49
130.01,1230.25,34.0,89,0.0,13.333333333333334,49
130.51,1230.25,34.0,89,0.0,13.333333333333334,50
131.02,1230.25,29.0,89,0.0,13.333333333333334,49
131.52,1179.5,24.0,89,0.0,13.333333333333334,49
132.02,1183.5,20.0,89,0.0,13.333333333333334,49
132.52,972.5,20.0,89,20.784313725490197,13.333333333333334,50
